Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
2A	Large (7-14)	Vowel Quality Inventories	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
3A	Low	Consonant-Vowel Ratio	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
4A	In both plosives and fricatives	Voicing in Plosives and Fricatives	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
6A	Uvular continuants only	Uvular Consonants	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
9A	No initial velar nasal	The Velar Nasal		Phonology	
10A	Contrast absent	Vowel Nasalization	Kohler 1999; Moulton 1962	Phonology	
11A	High and mid	Front Rounded Vowels	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
12A	Complex	Syllable Structure	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
13A	No tones	Tone	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
14A	No fixed stress	Fixed Stress Locations	Jessen 1999	Phonology	
15A	Right-oriented: One of the last three	Weight-Sensitive Stress	Jessen 1999	Phonology	
16A	Coda consonant	Weight Factors in Weight-Sensitive Stress Systems	Jessen 1999	Phonology	
17A	Trochaic	Rhythm Types	Jessen 1999	Phonology	
18A	All present	Absence of Common Consonants	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
19A	None	Presence of Uncommon Consonants	Kohler 1999; Moulton 1962; Wangler 1972	Phonology	
20A	Exclusively concatenative	Fusion of Selected Inflectional Formatives		Morphology	
21A	Case + number	Exponence of Selected Inflectional Formatives		Morphology	
21B	monoexponential TAM	Exponence of Tense-Aspect-Mood Inflection		Morphology	
22A	2-3 categories per word	Inflectional Synthesis of the Verb		Morphology	
23A	Dependent marking	Locus of Marking in the Clause		Morphology	
24A	Dependent marking	Locus of Marking in Possessive Noun Phrases		Morphology	
25A	Dependent-marking	Locus of Marking: Whole-language Typology		Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments		Morphology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Lederer 1969: passim	Morphology	
27A	No productive reduplication	Reduplication	Borgert and Nyhan 1975	Morphology	
28A	Core and non-core	Case Syncretism		Morphology	
29A	Syncretic	Syncretism in Verbal Person/Number Marking		Morphology	
30A	Three	Number of Genders		Nominal Categories	
31A	Sex-based	Sex-based and Non-sex-based Gender Systems		Nominal Categories	
32A	Semantic and formal	Systems of Gender Assignment		Nominal Categories	
33A	Plural suffix	Coding of Nominal Plurality	Lederer 1969: 172-175	Nominal Categories	
34A	All nouns, always obligatory	Occurrence of Nominal Plurality		Nominal Categories	
35A	Person-number stem	Plurality in Independent Personal Pronouns		Nominal Categories	
36A	Unique periphrastic associative plural	The Associative Plural		Nominal Categories	
37A	Definite word distinct from demonstrative	Definite Articles	Lederer 1969: 604	Nominal Categories	
38A	Indefinite word same as 'one'	Indefinite Articles	Lederer 1969: 604	Nominal Categories	
39A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns		Nominal Categories	
40A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Verbal Inflection		Nominal Categories	
41A	No distance contrast	Distance Contrasts in Demonstratives		Nominal Categories	
42A	Identical	Pronominal and Adnominal Demonstratives		Nominal Categories	
43A	Related by gender markers	Third Person Pronouns and Demonstratives	Curme 1922: 153, 177	Nominal Categories	
44A	3rd person singular only	Gender Distinctions in Independent Personal Pronouns	Borgert and Nyhan 1975: 361	Nominal Categories	
45A	Binary politeness distinction	Politeness Distinctions in Pronouns		Nominal Categories	
46A	Mixed	Indefinite Pronouns		Nominal Categories	
47A	Differentiated	Intensifiers and Reflexive Pronouns		Nominal Categories	
48A	No person marking	Person Marking on Adpositions	Borgert and Nyhan 1975: 373	Nominal Categories	
49A	4 cases	Number of Cases	Duden 1998: 220-229, 237-239, 281-286, 311-313, 329-333, 338-349	Nominal Categories	
50A	Syncretism in relevant NP-types	Asymmetrical Case-Marking	Duden 1998: 220-229, 237-239, 281-286, 311-313, 329-333, 338-349	Nominal Categories	
51A	Case suffixes	Position of Case Affixes	Lederer 1969: 181	Nominal Categories	
52A	Identity	Comitatives and Instrumentals		Nominal Categories	
