Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Vanvik 1972	Phonology	
2A	Large (7-14)	Vowel Quality Inventories	Vanvik 1972	Phonology	
3A	Moderately low	Consonant-Vowel Ratio	Vanvik 1972	Phonology	
4A	In plosives alone	Voicing in Plosives and Fricatives	Vanvik 1972	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Vanvik 1972	Phonology	
6A	None	Uvular Consonants	Vanvik 1972	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Vanvik 1972	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Vanvik 1972	Phonology	
11A	High and mid	Front Rounded Vowels	Vanvik 1972	Phonology	
12A	Complex	Syllable Structure	Vanvik 1972	Phonology	
13A	Simple tone system	Tone	Vanvik 1972	Phonology	
14A	No fixed stress	Fixed Stress Locations	Rice 1999	Phonology	
15A	Right-oriented: One of the last three	Weight-Sensitive Stress	Rice 1999	Phonology	
16A	Long vowel or coda consonant	Weight Factors in Weight-Sensitive Stress Systems	Rice 1999	Phonology	
17A	Undetermined	Rhythm Types	Rice 1999	Phonology	
18A	All present	Absence of Common Consonants	Vanvik 1972	Phonology	
19A	None	Presence of Uncommon Consonants	Vanvik 1972	Phonology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Moen and Pedersen 1983: passim; Olson 1901: passim; Strandskogen and Strandskogen 1986: passim	Morphology	
33A	Plural suffix	Coding of Nominal Plurality	Olson 1901: 17; Strandskogen and Strandskogen 1986: 59ff	Nominal Categories	
36A	Unique periphrastic associative plural	The Associative Plural		Nominal Categories	
37A	Definite affix	Definite Articles	Olson 1901: 14; Strandskogen and Strandskogen 1986: 45	Nominal Categories	
38A	Indefinite word same as 'one'	Indefinite Articles	Olson 1901: 14; Strandskogen and Strandskogen 1986: 45	Nominal Categories	
45A	Binary politeness distinction	Politeness Distinctions in Pronouns	Berit and Strandskogen 1998: 102-104	Nominal Categories	
47A	Identical	Intensifiers and Reflexive Pronouns	Strandskogen and Strandskogen 1995: 102, 105-106, 115	Nominal Categories	
51A	Case suffixes	Position of Case Affixes	Olson 1901: 22	Nominal Categories	
52A	Identity	Comitatives and Instrumentals	Berulfsen 1977	Nominal Categories	
53A	First, second, three-th	Ordinal Numerals	Berulfsen 1977: 34-38	Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes	Olson 1901: passim	Nominal Categories	
69A	Tense-aspect suffixes	Position of Tense-Aspect Affixes	Olson 1901: 52-58; Strandskogen and Strandskogen 1986: 20	Verbal Categories	
70A	Second person number-neutral	The Morphological Imperative	Askedal 1994: 238	Verbal Categories	
71A	Normal imperative + normal negative	The Prohibitive		Verbal Categories	
72A	Neither type of system	Imperative-Hortative Systems		Verbal Categories	
