Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Fougeron and Smith 1999; Sten 1963	Phonology	
2A	Large (7-14)	Vowel Quality Inventories	Fougeron and Smith 1999; Sten 1963	Phonology	
3A	Low	Consonant-Vowel Ratio	Fougeron and Smith 1999; Sten 1963	Phonology	
4A	In both plosives and fricatives	Voicing in Plosives and Fricatives	Fougeron and Smith 1999; Sten 1963	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Fougeron and Smith 1999; Sten 1963	Phonology	
6A	Uvular continuants only	Uvular Consonants	Fougeron and Smith 1999; Sten 1963	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Fougeron and Smith 1999; Sten 1963	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Fougeron and Smith 1999; Sten 1963	Phonology	
9A	No velar nasal	The Velar Nasal	Byrne et al. 1986	Phonology	
10A	Contrast present	Vowel Nasalization	Harris 1988	Phonology	
11A	High and mid	Front Rounded Vowels	Fougeron and Smith 1999; Sten 1963	Phonology	
12A	Complex	Syllable Structure	Fougeron and Smith 1999; Sten 1963	Phonology	
13A	No tones	Tone	Fougeron and Smith 1999; Sten 1963	Phonology	
14A	No fixed stress	Fixed Stress Locations	Dell 1984; Roca 1999; van Oostendorp 1995	Phonology	
15A	Right-edge: Ultimate or penultimate	Weight-Sensitive Stress	Dell 1984; Roca 1999; van Oostendorp 1995	Phonology	
16A	Prominence	Weight Factors in Weight-Sensitive Stress Systems	Dell 1984; Roca 1999; van Oostendorp 1995	Phonology	
17A	Undetermined	Rhythm Types	Dell 1984; Roca 1999; van Oostendorp 1995	Phonology	
18A	All present	Absence of Common Consonants	Fougeron and Smith 1999; Sten 1963	Phonology	
19A	None	Presence of Uncommon Consonants	Fougeron and Smith 1999; Sten 1963	Phonology	
20A	Exclusively concatenative	Fusion of Selected Inflectional Formatives	Harris 1988; Judge and Healey 1985	Morphology	
21A	No case	Exponence of Selected Inflectional Formatives	Harris 1988; Judge and Healey 1985	Morphology	
21B	TAM+agreement	Exponence of Tense-Aspect-Mood Inflection	Harris 1988; Judge and Healey 1985	Morphology	
22A	4-5 categories per word	Inflectional Synthesis of the Verb	Harris 1988; Judge and Healey 1985	Morphology	
23A	No marking	Locus of Marking in the Clause		Morphology	
24A	Dependent marking	Locus of Marking in Possessive Noun Phrases		Morphology	
25A	Inconsistent or other	Locus of Marking: Whole-language Typology		Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments		Morphology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Harris 1988: passim	Morphology	
27A	No productive reduplication	Reduplication	Fox 2001	Morphology	
28A	Core and non-core	Case Syncretism		Morphology	
29A	Syncretic	Syncretism in Verbal Person/Number Marking		Morphology	
30A	Two	Number of Genders		Nominal Categories	
31A	Sex-based	Sex-based and Non-sex-based Gender Systems		Nominal Categories	
32A	Semantic and formal	Systems of Gender Assignment		Nominal Categories	
33A	Plural suffix	Coding of Nominal Plurality	Harris 1988: 226	Nominal Categories	
34A	All nouns, always obligatory	Occurrence of Nominal Plurality		Nominal Categories	
35A	Person-number stem + nominal plural affix	Plurality in Independent Personal Pronouns		Nominal Categories	
36A	No associative plural	The Associative Plural		Nominal Categories	
37A	Definite word distinct from demonstrative	Definite Articles		Nominal Categories	
38A	Indefinite word same as 'one'	Indefinite Articles		Nominal Categories	
39A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns		Nominal Categories	
