Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
2A	Average (5-6)	Vowel Quality Inventories	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
3A	Average	Consonant-Vowel Ratio	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
4A	In fricatives alone	Voicing in Plosives and Fricatives	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
5A	Other	Voicing and Gaps in Plosive Systems	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
6A	None	Uvular Consonants	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
9A	No velar nasal	The Velar Nasal		Phonology	
10A	Contrast absent	Vowel Nasalization	Green 1988	Phonology	
11A	None	Front Rounded Vowels	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
12A	Moderately complex	Syllable Structure	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
13A	No tones	Tone	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
14A	No fixed stress	Fixed Stress Locations	Harris 1969a; Green 1988; Alarcos Llorach 1965; Harris 1983; Navarro 1965; Roca 1991; Roca 1999	Phonology	
15A	Right-edge: Ultimate or penultimate	Weight-Sensitive Stress	Harris 1969a; Green 1988; Alarcos Llorach 1965; Harris 1983; Navarro 1965; Roca 1991; Roca 1999	Phonology	
16A	Combined	Weight Factors in Weight-Sensitive Stress Systems	Harris 1969a; Green 1988; Alarcos Llorach 1965; Harris 1983; Navarro 1965; Roca 1991; Roca 1999	Phonology	
17A	Trochaic	Rhythm Types	Harris 1969a; Green 1988; Alarcos Llorach 1965; Harris 1983; Navarro 1965; Roca 1991; Roca 1999	Phonology	
18A	All present	Absence of Common Consonants	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
19A	'Th' sounds	Presence of Uncommon Consonants	Harris 1969a; Navarro 1961; Saporta and Contreras 1962	Phonology	
20A	Exclusively concatenative	Fusion of Selected Inflectional Formatives	Butt and Benjamin 2000	Morphology	
21A	Monoexponential case	Exponence of Selected Inflectional Formatives	Butt and Benjamin 2000	Morphology	
21B	TAM+agreement	Exponence of Tense-Aspect-Mood Inflection	Butt and Benjamin 2000	Morphology	
22A	4-5 categories per word	Inflectional Synthesis of the Verb	Butt and Benjamin 2000	Morphology	
23A	Double marking	Locus of Marking in the Clause		Morphology	
24A	Dependent marking	Locus of Marking in Possessive Noun Phrases		Morphology	
25A	Inconsistent or other	Locus of Marking: Whole-language Typology		Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments		Morphology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Green 1988: passim; Butt and Benjamin 2000: passim	Morphology	
27A	No productive reduplication	Reduplication	Lopez 2001	Morphology	
28A	Core and non-core	Case Syncretism	Butt and Benjamin 2000	Morphology	
29A	Syncretic	Syncretism in Verbal Person/Number Marking	Butt and Benjamin 2000	Morphology	
30A	Two	Number of Genders		Nominal Categories	
31A	Sex-based	Sex-based and Non-sex-based Gender Systems		Nominal Categories	
32A	Semantic and formal	Systems of Gender Assignment		Nominal Categories	
33A	Plural suffix	Coding of Nominal Plurality		Nominal Categories	
34A	All nouns, always obligatory	Occurrence of Nominal Plurality		Nominal Categories	
35A	Person-number stem + pronominal plural affix	Plurality in Independent Personal Pronouns		Nominal Categories	
36A	No associative plural	The Associative Plural		Nominal Categories	
37A	Definite word distinct from demonstrative	Definite Articles	Green 1988: 104	Nominal Categories	
38A	Indefinite word same as 'one'	Indefinite Articles	Green 1988: 104	Nominal Categories	
39A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns		Nominal Categories	
40A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Verbal Inflection		Nominal Categories	
41A	Three-way contrast	Distance Contrasts in Demonstratives		Nominal Categories	
42A	Identical	Pronominal and Adnominal Demonstratives		Nominal Categories	
43A	Unrelated	Third Person Pronouns and Demonstratives	Green 1988: 95-6	Nominal Categories	
44A	In 3rd person + 1st and/or 2nd person	Gender Distinctions in Independent Personal Pronouns	Green 1988: 96	Nominal Categories	
45A	Binary politeness distinction	Politeness Distinctions in Pronouns	Berschin et.al. 1995: 190-200	Nominal Categories	
46A	Special	Indefinite Pronouns		Nominal Categories	
47A	Differentiated	Intensifiers and Reflexive Pronouns	Otero 1999: 1427ff.	Nominal Categories	
48A	No person marking	Person Marking on Adpositions	Green 1988: 103	Nominal Categories	
49A	No morphological case-marking	Number of Cases	Butt and Benjamin 2000: 127-128, 132-136, 149-154	Nominal Categories	
50A	Additive-quantitatively asymmetrical	Asymmetrical Case-Marking	Butt and Benjamin 2000: 127-128, 132-136, 149-154	Nominal Categories	
51A	No case affixes or adpositional clitics	Position of Case Affixes		Nominal Categories	
53A	First, second, three-th	Ordinal Numerals		Nominal Categories	
54A	No distributive numerals	Distributive Numerals		Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes		Nominal Categories	
58A	Absent	Obligatory Possessive Inflection		Nominal Syntax	
58B	None reported	Number of Possessive Nouns		Nominal Syntax	
59A	No possessive classification	Possessive Classification		Nominal Syntax	
61A	Without marking	Adjectives without Nouns		Nominal Syntax	
62A	Ergative-Possessive	Action Nominal Constructions		Nominal Syntax	
63A	'And' different from 'with'	Noun Phrase Conjunction	Ashcom and Goodell 1955	Nominal Syntax	
64A	Identity	Nominal and Verbal Conjunction		Nominal Syntax	
65A	Grammatical marking	Perfective/Imperfective Aspect	Dahl 1985: 171	Verbal Categories	
66A	Present, no remoteness distinctions	The Past Tense	Dahl 1985: 171	Verbal Categories	
67A	Inflectional future exists	The Future Tense	Dahl 1985: 171	Verbal Categories	
68A	From possessive	The Perfect	Dahl 1985: 171	Verbal Categories	
69A	Tense-aspect suffixes	Position of Tense-Aspect Affixes		Verbal Categories	
70A	Second singular and second plural	The Morphological Imperative		Verbal Categories	
71A	Special imperative + normal negative	The Prohibitive		Verbal Categories	
72A	Neither type of system	Imperative-Hortative Systems		Verbal Categories	
73A	Inflectional optative absent	The Optative	Butt and Benjamin 1994	Verbal Categories	
74A	Verbal constructions	Situational Possibility	Butt and Benjamin 1988: 128	Verbal Categories	
75A	Verbal constructions	Epistemic Possibility	Butt and Benjamin 1988: 199	Verbal Categories	
76A	Overlap for both possibility and necessity	Overlap between Situational and Epistemic Modal Marking	Butt and Benjamin 1988: 128, 356	Verbal Categories	
77A	No grammatical evidentials	Semantic Distinctions of Evidentiality	Butt and Benjamin 2000	Verbal Categories	
78A	No grammatical evidentials	Coding of Evidentiality	Butt and Benjamin 2000	Verbal Categories	
79A	Tense and aspect	Suppletion According to Tense and Aspect		Verbal Categories	
79B	Imperative	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion		Verbal Categories	
81A	SVO	Order of Subject, Object and Verb	Green 1988: 114-115	Word Order	
82A	No dominant order	Order of Subject and Verb		Word Order	
83A	VO	Order of Object and Verb	Green 1988: 103	Word Order	
84A	VOX	Order of Object, Oblique, and Verb		Word Order	
85A	Prepositions	Order of Adposition and Noun Phrase	Green 1988: 103	Word Order	
86A	Noun-Genitive	Order of Genitive and Noun	Green 1988: 103	Word Order	
87A	Noun-Adjective	Order of Adjective and Noun	Green 1988: 104-105	Word Order	
88A	Demonstrative-Noun	Order of Demonstrative and Noun	Green 1988: 104	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Green 1988: 104	Word Order	
90A	Noun-Relative clause	Order of Relative Clause and Noun	Green 1988: 104-105	Word Order	
90C	Noun-Relative clause (NRel) dominant	Postnominal relative clauses	Green 1988: 104-105	Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective		Word Order	
92A	No question particle	Position of Polar Question Particles	Butt and Benjamin 2000: 516-517	Word Order	
93A	Initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Green 1988: 104	Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause		Word Order	
