Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Saltarelli et al. 1988	Phonology	
2A	Average (5-6)	Vowel Quality Inventories	Saltarelli et al. 1988	Phonology	
3A	Moderately high	Consonant-Vowel Ratio	Saltarelli et al. 1988	Phonology	
4A	In plosives alone	Voicing in Plosives and Fricatives	Saltarelli et al. 1988	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Saltarelli et al. 1988	Phonology	
6A	None	Uvular Consonants	Saltarelli et al. 1988	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Saltarelli et al. 1988	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Saltarelli et al. 1988	Phonology	
9A	No velar nasal	The Velar Nasal	Saltarelli et al. 1988: 265	Phonology	
10A	Contrast absent	Vowel Nasalization	Saltarelli et al. 1988	Phonology	
11A	None	Front Rounded Vowels	Saltarelli et al. 1988	Phonology	
12A	Complex	Syllable Structure	Saltarelli et al. 1988	Phonology	
13A	No tones	Tone	Saltarelli et al. 1988	Phonology	
18A	All present	Absence of Common Consonants	Saltarelli et al. 1988	Phonology	
19A	None	Presence of Uncommon Consonants	Saltarelli et al. 1988	Phonology	
20A	Exclusively concatenative	Fusion of Selected Inflectional Formatives	Saltarelli et al. 1988; Allières 1979; King 1993b ; Lafitte 1962; Rebuschi 1984	Morphology	
21A	Monoexponential case	Exponence of Selected Inflectional Formatives	Saltarelli et al. 1988; Allières 1979; King 1993b ; Lafitte 1962; Rebuschi 1984	Morphology	
21B	monoexponential TAM	Exponence of Tense-Aspect-Mood Inflection	Saltarelli et al. 1988; Allières 1979; King 1993b ; Lafitte 1962; Rebuschi 1984	Morphology	
22A	4-5 categories per word	Inflectional Synthesis of the Verb	Saltarelli et al. 1988	Morphology	
23A	Double marking	Locus of Marking in the Clause	Saltarelli et al. 1988; King 1993b ; Lafitte 1962	Morphology	
24A	Dependent marking	Locus of Marking in Possessive Noun Phrases	Saltarelli et al. 1988; King 1993b ; Lafitte 1962	Morphology	
25A	Inconsistent or other	Locus of Marking: Whole-language Typology	Saltarelli et al. 1988; King 1993b ; Lafitte 1962	Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments	Saltarelli et al. 1988; King 1993b ; Lafitte 1962	Morphology	
26A	Equal prefixing and suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Hualde and Ortiz de Urbina 2003: passim	Morphology	
27A	Productive full and partial reduplication	Reduplication	Trask 2001	Morphology	
28A	Core cases only	Case Syncretism	Saltarelli et al. 1988	Morphology	
29A	Not syncretic	Syncretism in Verbal Person/Number Marking	Saltarelli et al. 1988	Morphology	
30A	None	Number of Genders	Trask 1995	Nominal Categories	
