Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
2A	Average (5-6)	Vowel Quality Inventories	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
3A	Average	Consonant-Vowel Ratio	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
4A	In both plosives and fricatives	Voicing in Plosives and Fricatives	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
6A	Uvular stops only	Uvular Consonants	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
9A	No velar nasal	The Velar Nasal	Elwell-Sutton 1941; Elwell-Sutton 1963 	Phonology	
10A	Contrast absent	Vowel Nasalization	Majidi and Ternes 1999	Phonology	
11A	None	Front Rounded Vowels	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
12A	Complex	Syllable Structure	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
13A	No tones	Tone	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
14A	Ultimate	Fixed Stress Locations	Lambton 1953 	Phonology	
15A	Fixed stress (no weight-sensitivity)	Weight-Sensitive Stress	Lambton 1953 	Phonology	
16A	No weight	Weight Factors in Weight-Sensitive Stress Systems	Lambton 1953 	Phonology	
18A	All present	Absence of Common Consonants	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
19A	None	Presence of Uncommon Consonants	Majidi and Ternes 1999; Obolensky et al. 1963	Phonology	
20A	Exclusively concatenative	Fusion of Selected Inflectional Formatives	Lambton 1974; Lazard 1957a; Mahootian 1997 ; Majidi 1986; Rastorgueva 1964	Morphology	
21A	Monoexponential case	Exponence of Selected Inflectional Formatives	Lambton 1974; Lazard 1957a; Mahootian 1997 ; Majidi 1986; Rastorgueva 1964	Morphology	
21B	monoexponential TAM	Exponence of Tense-Aspect-Mood Inflection	Lambton 1974; Lazard 1957a; Mahootian 1997 ; Majidi 1986; Rastorgueva 1964	Morphology	
22A	4-5 categories per word	Inflectional Synthesis of the Verb	Lambton 1974; Rastorgueva 1964	Morphology	
23A	Double marking	Locus of Marking in the Clause	Mahootian 1997 ; Lazard 1992	Morphology	
24A	Head marking	Locus of Marking in Possessive Noun Phrases	Mahootian 1997 ; Lazard 1992	Morphology	
25A	Inconsistent or other	Locus of Marking: Whole-language Typology	Mahootian 1997 ; Lazard 1992	Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments	Mahootian 1997 ; Lazard 1992	Morphology	
26A	Weakly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Elwell-Sutton 1941: passim; Elwell-Sutton 1963: passim ; Lazard 1957a: passim; Rastorgueva 1964: passim; Lambton 1967: passim	Morphology	
27A	Productive full and partial reduplication	Reduplication	Mahootian 1997: 340 	Morphology	
28A	No case marking	Case Syncretism	Rubinchik 1960	Morphology	
29A	Not syncretic	Syncretism in Verbal Person/Number Marking	Rubinchik 1960	Morphology	
30A	None	Number of Genders	Lambton 1974: 4n3	Nominal Categories	
31A	No gender	Sex-based and Non-sex-based Gender Systems	Lambton 1974: 4n3	Nominal Categories	
32A	No gender	Systems of Gender Assignment	Lambton 1974: 4n3	Nominal Categories	
33A	Plural suffix	Coding of Nominal Plurality	Rastorgueva 1964: 18; Lambton 1967: 8	Nominal Categories	
35A	Person-number stem	Plurality in Independent Personal Pronouns	Mahootian 1997: 205-209 	Nominal Categories	
36A	Unique periphrastic associative plural	The Associative Plural		Nominal Categories	
37A	No definite, but indefinite article	Definite Articles	Rastorgueva 1964: passim	Nominal Categories	
39A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns	Majidi 1990: 108	Nominal Categories	
40A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Verbal Inflection	Majidi 1990: 108	Nominal Categories	
41A	Two-way contrast	Distance Contrasts in Demonstratives	Mahootian 1997: 93 	Nominal Categories	
42A	Different inflection	Pronominal and Adnominal Demonstratives	Mahootian 1997: 217 	Nominal Categories	
43A	Related for non-human reference	Third Person Pronouns and Demonstratives	Rastorgueva 1964: 28, 30	Nominal Categories	
44A	3rd person singular only	Gender Distinctions in Independent Personal Pronouns	Mahootian 1997: 205 	Nominal Categories	
45A	Binary politeness distinction	Politeness Distinctions in Pronouns	Mahootian 1997: 205-213 	Nominal Categories	
46A	Generic-noun-based	Indefinite Pronouns	Mahootian 1997 	Nominal Categories	
47A	Identical	Intensifiers and Reflexive Pronouns	Mahootian 1997: 96-97, 215 	Nominal Categories	
48A	Pronouns only	Person Marking on Adpositions	Mahootian 1997: 265 	Nominal Categories	
49A	2 cases	Number of Cases	Mahootian 1997: 66-70, 198-201, 213-214 	Nominal Categories	
50A	Symmetrical	Asymmetrical Case-Marking	Mahootian 1997: 66-70, 198-201, 213-214 	Nominal Categories	
51A	No case affixes or adpositional clitics	Position of Case Affixes	Rastorgueva 1964: passim	Nominal Categories	
52A	Identity	Comitatives and Instrumentals	Alavi and Lorenz 1988: 46	Nominal Categories	
53A	First/one-th, two-th, three-th	Ordinal Numerals	Alavi and Lorenz 1988: 71-78	Nominal Categories	
54A	No distributive numerals	Distributive Numerals		Nominal Categories	
55A	Optional	Numeral Classifiers	Mahootian 1997: 195 	Nominal Categories	
56A	Formally similar, without interrogative	Conjunctions and Universal Quantifiers	Netzer 1971	Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes	Rastorgueva 1964: passim	Nominal Categories	
58A	Absent	Obligatory Possessive Inflection	Mahootian 1997 ; Lazard 1992	Nominal Syntax	
58B	None reported	Number of Possessive Nouns	Mahootian 1997 ; Lazard 1992	Nominal Syntax	
59A	No possessive classification	Possessive Classification	Mahootian 1997 ; Lazard 1992	Nominal Syntax	
60A	Genitives and adjectives collapsed	Genitives, Adjectives and Relative Clauses	Netzer 1971	Nominal Syntax	
61A	Without marking	Adjectives without Nouns	Jones 1809: 27	Nominal Syntax	
62A	Ergative-Possessive	Action Nominal Constructions		Nominal Syntax	
63A	'And' different from 'with'	Noun Phrase Conjunction	Lazard 1957b	Nominal Syntax	
64A	Identity	Nominal and Verbal Conjunction	Mahootian 1997: 72-3 	Nominal Syntax	
65A	Grammatical marking	Perfective/Imperfective Aspect	Dahl 1985: 168	Verbal Categories	
66A	Present, no remoteness distinctions	The Past Tense	Dahl 1985: 168	Verbal Categories	
67A	No inflectional future	The Future Tense	Dahl 1985: 168	Verbal Categories	
68A	No perfect	The Perfect	Dahl 1985: 168	Verbal Categories	
69A	Mixed type	Position of Tense-Aspect Affixes	Lambton 1967: 15, 25	Verbal Categories	
70A	Second singular	The Morphological Imperative	Mahootian 1997: 27, 247-249 ; Lazard 1992: 137, 148	Verbal Categories	
71A	Normal imperative + normal negative	The Prohibitive	Mahootian 1997: 27, 87 ; Lazard 1992: 162, 164	Verbal Categories	
72A	Minimal system	Imperative-Hortative Systems	Mahootian 1997: 27, 247-251 	Verbal Categories	
73A	Inflectional optative absent	The Optative	Lambton 1967	Verbal Categories	
74A	Verbal constructions	Situational Possibility	Mahootian 1997: 250 ; Windfuhr 1979: 99f.	Verbal Categories	
75A	Other	Epistemic Possibility	Mahootian 1997: 250-251 ; Windfuhr 1979: 99f.	Verbal Categories	
76A	Overlap for either possibility or necessity	Overlap between Situational and Epistemic Modal Marking	Mahootian 1997: 249-251 ; Windfuhr 1979: 100f.	Verbal Categories	
77A	Direct and indirect	Semantic Distinctions of Evidentiality	Windfuhr 1982	Verbal Categories	
78A	Part of the tense system	Coding of Evidentiality	Windfuhr 1982	Verbal Categories	
79A	Tense and aspect	Suppletion According to Tense and Aspect		Verbal Categories	
79B	None (= no suppletive imperatives reported in the reference material)	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	Lazard 1992	Verbal Categories	
81A	SOV	Order of Subject, Object and Verb	Elwell-Sutton 1941: 12; Lazard 1957a: 207-208; Rastorgueva 1964: 49, 22; Lambton 1967: 5	Word Order	
82A	SV	Order of Subject and Verb	Elwell-Sutton 1941: 12; Lazard 1957a: 207-208; Rastorgueva 1964: 49, 22; Lambton 1967: 5	Word Order	
83A	OV	Order of Object and Verb	Elwell-Sutton 1941: 12; Lazard 1957a: 207-208; Rastorgueva 1964: 49, 22; Lambton 1967: 5	Word Order	
85A	Prepositions	Order of Adposition and Noun Phrase	Elwell-Sutton 1941: 17, 24-25; Rastorgueva 1964: 25	Word Order	
86A	Noun-Genitive	Order of Genitive and Noun	Elwell-Sutton 1963: 41 ; Rastorgueva 1964: 21	Word Order	
87A	Noun-Adjective	Order of Adjective and Noun	Lazard 1957a: 81; Rastorgueva 1964: 21, 23; Lambton 1967: 19, 21	Word Order	
88A	Demonstrative-Noun	Order of Demonstrative and Noun	Rastorgueva 1964: 20, 30; Lambton 1967: 5	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Rastorgueva 1964: 32; Lambton 1967: 42	Word Order	
90A	Noun-Relative clause	Order of Relative Clause and Noun	Rastorgueva 1964: 60	Word Order	
90C	Noun-Relative clause (NRel) dominant	Postnominal relative clauses	Rastorgueva 1964: 60	Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective	Lazard 1957a: 83, 88; Lambton 1967: 22	Word Order	
92A	Initial	Position of Polar Question Particles	Lambton 1967: 5	Word Order	
93A	Not initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Elwell-Sutton 1941: 20; Lazard 1957a: 212	Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause	Lazard 1957a: 236ff; Rastorgueva 1964: 58-59, 61; Lambton 1967: 74	Word Order	
95A	OV and Prepositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	OV and NRel	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	OV and NAdj	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Nominative - accusative (standard)	Alignment of Case Marking of Full Noun Phrases	Mahootian 1997: 116, 137, 226 	Simple Clauses	
99A	Nominative - accusative (standard)	Alignment of Case Marking of Pronouns	Mahootian 1997: 116, 142 	Simple Clauses	
100A	Accusative	Alignment of Verbal Person Marking	Mahootian 1997: 253 	Simple Clauses	
101A	Subject affixes on verb	Expression of Pronominal Subjects	Rastorgueva 1964: 34; Lambton 1967: 11	Simple Clauses	
102A	Both the A and P arguments	Verbal Person Marking	Mahootian 1997: 254 	Simple Clauses	
103A	Zero in all 3sg forms	Third Person Zero of Verbal Person Marking	Mahootian 1997: 228 	Simple Clauses	
104A	A precedes P	Order of Person Markers on the Verb	Mahootian 1997: 254 	Simple Clauses	
105A	Indirect-object construction	Ditransitive Constructions: The Verb 'Give'	Mahootian 1997: 139 	Simple Clauses	
106A	Distinct from reflexive	Reciprocal Constructions	Mahootian 1997: 103 	Simple Clauses	
107A	Present	Passive Constructions	Mahootian 1997: 143, 222 	Simple Clauses	
108A	No antipassive	Antipassive Constructions		Simple Clauses	
108B	no antipassive	Productivity of the Antipassive Construction		Simple Clauses	
109A	No applicative construction	Applicative Constructions	Boyle 1966 	Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
110A	Purposive but no sequential	Periphrastic Causative Constructions	Mahootian 1997: 225-226, 274-275 	Simple Clauses	
