Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Householder et al. 1964	Phonology	
2A	Average (5-6)	Vowel Quality Inventories	Householder et al. 1964	Phonology	
3A	Average	Consonant-Vowel Ratio	Householder et al. 1964	Phonology	
4A	In both plosives and fricatives	Voicing in Plosives and Fricatives	Householder et al. 1964	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Householder et al. 1964	Phonology	
6A	None	Uvular Consonants	Householder et al. 1964	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Householder et al. 1964	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Householder et al. 1964	Phonology	
9A	No velar nasal	The Velar Nasal		Phonology	
10A	Contrast absent	Vowel Nasalization	Joseph and Philippaki-Warburton 1987	Phonology	
11A	None	Front Rounded Vowels	Householder et al. 1964	Phonology	
12A	Complex	Syllable Structure	Householder et al. 1964	Phonology	
13A	No tones	Tone	Householder et al. 1964	Phonology	
14A	Antepenultimate	Fixed Stress Locations	Drachman and Malikouti-Drachman 1999; Malikouti-Drachman and Drachman 1981	Phonology	
15A	Fixed stress (no weight-sensitivity)	Weight-Sensitive Stress	Drachman and Malikouti-Drachman 1999; Malikouti-Drachman and Drachman 1981	Phonology	
16A	Lexical stress	Weight Factors in Weight-Sensitive Stress Systems	Drachman and Malikouti-Drachman 1999; Malikouti-Drachman and Drachman 1981	Phonology	
17A	Trochaic	Rhythm Types	Drachman and Malikouti-Drachman 1999; Malikouti-Drachman and Drachman 1981	Phonology	
18A	All present	Absence of Common Consonants	Householder et al. 1964	Phonology	
19A	'Th' sounds	Presence of Uncommon Consonants	Householder et al. 1964	Phonology	
20A	Exclusively concatenative	Fusion of Selected Inflectional Formatives	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 ; Mackridge 1985	Morphology	
21A	Case + number	Exponence of Selected Inflectional Formatives	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 ; Mackridge 1985	Morphology	
21B	TAM+agreement+diathesis	Exponence of Tense-Aspect-Mood Inflection	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 ; Mackridge 1985	Morphology	
22A	4-5 categories per word	Inflectional Synthesis of the Verb	Holton et al. 1997 ; Mackridge 1985	Morphology	
23A	Double marking	Locus of Marking in the Clause	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 	Morphology	
24A	Double marking	Locus of Marking in Possessive Noun Phrases	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 	Morphology	
25A	Double-marking	Locus of Marking: Whole-language Typology	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 	Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 	Morphology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Joseph and Philippaki-Warburton 1987: passim; Holton et al. 1997: passim ; Mackridge 1985: passim	Morphology	
27A	No productive reduplication	Reduplication		Morphology	
28A	Core and non-core	Case Syncretism	Sofroniou 1962	Morphology	
29A	Not syncretic	Syncretism in Verbal Person/Number Marking	Sofroniou 1962	Morphology	
30A	Three	Number of Genders	Mackridge 1985: 43-54	Nominal Categories	
31A	Sex-based	Sex-based and Non-sex-based Gender Systems	Mackridge 1985: 43-54	Nominal Categories	
32A	Semantic and formal	Systems of Gender Assignment	Mackridge 1985: 43-54	Nominal Categories	
33A	Plural suffix	Coding of Nominal Plurality	Mackridge 1985: 361	Nominal Categories	
34A	All nouns, always obligatory	Occurrence of Nominal Plurality	Holton et al. 1997 	Nominal Categories	
35A	Person-number stem + pronominal plural affix	Plurality in Independent Personal Pronouns	Mackridge 1985: 145-146	Nominal Categories	
36A	No associative plural	The Associative Plural		Nominal Categories	
37A	Definite word distinct from demonstrative	Definite Articles	Mackridge 1985: 193	Nominal Categories	
38A	Indefinite word same as 'one'	Indefinite Articles	Mackridge 1985: passim	Nominal Categories	
39A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns	Ruge 1986: 53	Nominal Categories	
40A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Verbal Inflection	Ruge 1986: 58 ff.	Nominal Categories	
41A	Three-way contrast	Distance Contrasts in Demonstratives	Holton et al. 1997: 97 	Nominal Categories	
42A	Identical	Pronominal and Adnominal Demonstratives	Holton et al. 1997: 97 	Nominal Categories	
44A	3rd person singular only	Gender Distinctions in Independent Personal Pronouns	Mackridge 1985: 145	Nominal Categories	
45A	Binary politeness distinction	Politeness Distinctions in Pronouns	Mackridge 1985: 77-78, 123, 144	Nominal Categories	
46A	Interrogative-based	Indefinite Pronouns	Holton et al. 1997: 320 	Nominal Categories	
47A	Differentiated	Intensifiers and Reflexive Pronouns	Joseph and Philippaki-Warburton 1987: 83, 161	Nominal Categories	
48A	No person marking	Person Marking on Adpositions	Mackridge 1985: 203	Nominal Categories	
49A	3 cases	Number of Cases	Holton et al. 1997: 48-86, 95-107 	Nominal Categories	
50A	Syncretism in relevant NP-types	Asymmetrical Case-Marking	Holton et al. 1997: 48-86, 95-107 	Nominal Categories	
51A	Case suffixes	Position of Case Affixes	Mackridge 1985: 361	Nominal Categories	
52A	Identity	Comitatives and Instrumentals		Nominal Categories	
53A	First, second, three-th	Ordinal Numerals		Nominal Categories	
54A	Marked by preceding word	Distributive Numerals		Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes	Mackridge 1985: passim	Nominal Categories	
58A	Absent	Obligatory Possessive Inflection	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 	Nominal Syntax	
58B	None reported	Number of Possessive Nouns	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 	Nominal Syntax	
59A	No possessive classification	Possessive Classification	Joseph and Philippaki-Warburton 1987; Holton et al. 1997 	Nominal Syntax	
62A	Ergative-Possessive	Action Nominal Constructions	Joseph and Philippaki-Warburton 1987: 129	Nominal Syntax	
63A	'And' different from 'with'	Noun Phrase Conjunction	Joseph and Philippaki-Warburton 1987	Nominal Syntax	
64A	Identity	Nominal and Verbal Conjunction	Holton et al. 1997 	Nominal Syntax	
65A	Grammatical marking	Perfective/Imperfective Aspect	Dahl 1985: 169	Verbal Categories	
66A	Present, no remoteness distinctions	The Past Tense	Dahl 1985: 169	Verbal Categories	
67A	No inflectional future	The Future Tense	Dahl 1985: 169	Verbal Categories	
68A	From possessive	The Perfect	Dahl 1985: 169	Verbal Categories	
69A	Tense-aspect suffixes	Position of Tense-Aspect Affixes	Mackridge 1985: 171-176, 364ff	Verbal Categories	
70A	Second singular and second plural	The Morphological Imperative	Joseph and Philippaki-Warburton 1987: 15, 183; Hedin 1995: 234	Verbal Categories	
71A	Special imperative + special negative	The Prohibitive	Joseph and Philippaki-Warburton 1987: 16-17	Verbal Categories	
72A	Maximal system	Imperative-Hortative Systems	Joseph and Philippaki-Warburton 1987: 15-17, 180-183	Verbal Categories	
73A	Inflectional optative absent	The Optative	Mackridge 1985	Verbal Categories	
74A	Verbal constructions	Situational Possibility	Joseph and Philippaki-Warburton 1987: 184; Palmer 1986: 19f 	Verbal Categories	
75A	Verbal constructions	Epistemic Possibility	Joseph and Philippaki-Warburton 1987: 184; Palmer 1986: 19 	Verbal Categories	
76A	Overlap for both possibility and necessity	Overlap between Situational and Epistemic Modal Marking	Joseph and Philippaki-Warburton 1987: 184; Palmer 1986: 19f 	Verbal Categories	
77A	No grammatical evidentials	Semantic Distinctions of Evidentiality	Joseph and Philippaki-Warburton 1987	Verbal Categories	
78A	No grammatical evidentials	Coding of Evidentiality	Joseph and Philippaki-Warburton 1987	Verbal Categories	
79A	Tense and aspect	Suppletion According to Tense and Aspect	Joseph and Philippaki-Warburton 1987: 196; Christiades 1980: in passim	Verbal Categories	
79B	Imperative	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	Joseph and Philippaki-Warburton 1987; Christiades 1980	Verbal Categories	
81A	No dominant order	Order of Subject, Object and Verb	Mackridge 1985: 236	Word Order	
81B	SVO or VSO	Languages with two Dominant Orders of Subject, Object, and Verb	Mackridge 1985: 236	Word Order	
82A	No dominant order	Order of Subject and Verb	Holton et al. 1997: 427-428 	Word Order	
83A	VO	Order of Object and Verb	Mackridge 1985: 236	Word Order	
85A	Prepositions	Order of Adposition and Noun Phrase	Mackridge 1985: 203	Word Order	
86A	Noun-Genitive	Order of Genitive and Noun	Mackridge 1985: 64, passim	Word Order	
87A	Adjective-Noun	Order of Adjective and Noun	Mackridge 1985: 193	Word Order	
88A	Demonstrative-Noun	Order of Demonstrative and Noun	Mackridge 1985: 193	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Mackridge 1985: 193	Word Order	
90A	Noun-Relative clause	Order of Relative Clause and Noun	Mackridge 1985: passim	Word Order	
90C	Noun-Relative clause (NRel) dominant	Postnominal relative clauses	Mackridge 1985: passim	Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective	Mackridge 1985: 143, 196, passim	Word Order	
92A	Initial	Position of Polar Question Particles	Mackridge 1985: 301	Word Order	
93A	Initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Mackridge 1985: 236-237	Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause	Mackridge 1985: 271	Word Order	
