Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Alwi et al. 1998	Phonology	
2A	Average (5-6)	Vowel Quality Inventories	Alwi et al. 1998	Phonology	
3A	Average	Consonant-Vowel Ratio	Alwi et al. 1998	Phonology	
4A	In both plosives and fricatives	Voicing in Plosives and Fricatives	Alwi et al. 1998	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Alwi et al. 1998	Phonology	
6A	None	Uvular Consonants	Alwi et al. 1998	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Alwi et al. 1998	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Alwi et al. 1998	Phonology	
9A	Initial velar nasal	The Velar Nasal	Echols and Shadily 1961: 230	Phonology	
10A	Contrast absent	Vowel Nasalization	Danusugondo 1975; Macdonald 1976 ; Sarumpaet and Mackie 1966; Sneddon 1996a ; Sneddon 1996b 	Phonology	
11A	None	Front Rounded Vowels	Alwi et al. 1998	Phonology	
12A	Complex	Syllable Structure	Alwi et al. 1998	Phonology	
13A	No tones	Tone	Alwi et al. 1998	Phonology	
14A	Penultimate	Fixed Stress Locations	Halim 1974; Samsuri 1971	Phonology	
15A	Fixed stress (no weight-sensitivity)	Weight-Sensitive Stress	Halim 1974; Samsuri 1971	Phonology	
16A	No weight	Weight Factors in Weight-Sensitive Stress Systems	Halim 1974; Samsuri 1971	Phonology	
17A	Trochaic	Rhythm Types	Halim 1974; Samsuri 1971	Phonology	
18A	All present	Absence of Common Consonants	Alwi et al. 1998	Phonology	
19A	None	Presence of Uncommon Consonants	Alwi et al. 1998	Phonology	
20A	Exclusively isolating	Fusion of Selected Inflectional Formatives	Macdonald 1976 ; Sneddon 1996b 	Morphology	
21A	No case	Exponence of Selected Inflectional Formatives	Macdonald 1976 ; Sneddon 1996b 	Morphology	
21B	monoexponential TAM	Exponence of Tense-Aspect-Mood Inflection	Macdonald 1976 ; Sneddon 1996b 	Morphology	
22A	4-5 categories per word	Inflectional Synthesis of the Verb	Macdonald 1976 ; Sneddon 1996b 	Morphology	
23A	No marking	Locus of Marking in the Clause	Sneddon 1996b 	Morphology	
24A	No marking	Locus of Marking in Possessive Noun Phrases	Sneddon 1996b 	Morphology	
25A	Zero-marking	Locus of Marking: Whole-language Typology	Sneddon 1996b 	Morphology	
25B	Zero-marking	Zero Marking of A and P Arguments	Sneddon 1996b 	Morphology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Danusugondo 1975: passim; Macdonald 1976: passim ; Sneddon 1996a: passim ; Echols and Shadily 1990: passim; Mintz 1994: passim	Morphology	
27A	Full reduplication only	Reduplication	Sneddon 1996b 	Morphology	
28A	No case marking	Case Syncretism	Teselkin and Alieva 1960	Morphology	
29A	No subject person/number marking	Syncretism in Verbal Person/Number Marking	Teselkin and Alieva 1960	Morphology	
30A	None	Number of Genders	Sneddon 1996 	Nominal Categories	
31A	No gender	Sex-based and Non-sex-based Gender Systems	Sneddon 1996 	Nominal Categories	
32A	No gender	Systems of Gender Assignment	Sneddon 1996 	Nominal Categories	
33A	Plural complete reduplication	Coding of Nominal Plurality	Sneddon 1996a: 16 	Nominal Categories	
34A	All nouns, always optional	Occurrence of Nominal Plurality	Sneddon 1996: 16-8 	Nominal Categories	
35A	Person-number stem	Plurality in Independent Personal Pronouns	Sneddon 1996b: 160-161 	Nominal Categories	
36A	Unique periphrastic associative plural	The Associative Plural		Nominal Categories	
37A	Demonstrative word used as definite article	Definite Articles	Danusugondo 1975: passim; Macdonald 1976: 85 ; Sneddon 1996a: 130, 150 	Nominal Categories	
38A	No indefinite, but definite article	Indefinite Articles	Macdonald 1976: 85 ; Sneddon 1996a: 130, 150 	Nominal Categories	
39A	Inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns	Sneddon 1996: 160 	Nominal Categories	
40A	No person marking	Inclusive/Exclusive Distinction in Verbal Inflection	Sneddon 1996: 60 ff. 	Nominal Categories	
41A	Two-way contrast	Distance Contrasts in Demonstratives	Sneddon 1996b: 129 	Nominal Categories	
42A	Identical	Pronominal and Adnominal Demonstratives	Sneddon 1996b: 160 	Nominal Categories	
43A	Unrelated	Third Person Pronouns and Demonstratives	Sneddon 1996: 160 	Nominal Categories	
44A	No gender distinctions	Gender Distinctions in Independent Personal Pronouns	Sneddon 1996b: 71-2 	Nominal Categories	
45A	Pronouns avoided for politeness	Politeness Distinctions in Pronouns	Sneddon 1996b: 160-175 	Nominal Categories	
46A	Generic-noun-based	Indefinite Pronouns	Sneddon 1996: 170 	Nominal Categories	
47A	Identical	Intensifiers and Reflexive Pronouns	Sneddon 1996b: 152, 205ff. 	Nominal Categories	
48A	No person marking	Person Marking on Adpositions	Sneddon 1996b: 89, 98 	Nominal Categories	
49A	No morphological case-marking	Number of Cases	Sneddon 1996: passim 	Nominal Categories	
50A	No case-marking	Asymmetrical Case-Marking	Sneddon 1996: passim 	Nominal Categories	
51A	No case affixes or adpositional clitics	Position of Case Affixes	Danusugondo 1975: passim	Nominal Categories	
52A	Mixed	Comitatives and Instrumentals	Krause 1994: 40, 104	Nominal Categories	
53A	First/one-th, two-th, three-th	Ordinal Numerals	Krause 1994: 62-65	Nominal Categories	
54A	No distributive numerals	Distributive Numerals		Nominal Categories	
55A	Optional	Numeral Classifiers		Nominal Categories	
56A	Formally similar, with interrogative	Conjunctions and Universal Quantifiers		Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes	Sneddon 1996a: 166 	Nominal Categories	
58A	Absent	Obligatory Possessive Inflection	Sneddon 1996b 	Nominal Syntax	
58B	None reported	Number of Possessive Nouns	Sneddon 1996b 	Nominal Syntax	
59A	No possessive classification	Possessive Classification	Sneddon 1996b 	Nominal Syntax	
60A	Weakly differentiated	Genitives, Adjectives and Relative Clauses		Nominal Syntax	
61A	Marked by preceding word	Adjectives without Nouns		Nominal Syntax	
62A	Ergative-Possessive	Action Nominal Constructions		Nominal Syntax	
63A	'And' identical to 'with'	Noun Phrase Conjunction	Kähler 1965 	Nominal Syntax	
64A	Identity	Nominal and Verbal Conjunction	Sneddon 1996: 338-9 	Nominal Syntax	
65A	No grammatical marking	Perfective/Imperfective Aspect	Dahl 1985: 160	Verbal Categories	
66A	No past tense	The Past Tense	Dahl 1985: 160	Verbal Categories	
67A	No inflectional future	The Future Tense	Dahl 1985: 160	Verbal Categories	
68A	From 'finish', 'already'	The Perfect	Dahl 1985: 160	Verbal Categories	
69A	Tense-aspect suffixes	Position of Tense-Aspect Affixes	Sneddon 1996a: 94 	Verbal Categories	
70A	No second-person imperatives	The Morphological Imperative	Sneddon 1996a: 324, passim ; Salim 2001: 422-423	Verbal Categories	
71A	Normal imperative + special negative	The Prohibitive	Sneddon 1996a: 195, 325 ; Salim 2001: 432	Verbal Categories	
72A	Neither type of system	Imperative-Hortative Systems	Sneddon 1996b: 324, 332-4 	Verbal Categories	
73A	Inflectional optative absent	The Optative	Sneddon 1996b 	Verbal Categories	
74A	Affixes on verbs	Situational Possibility	Sneddon 1996b: 116f. 	Verbal Categories	
75A	Other	Epistemic Possibility		Verbal Categories	
76A	No overlap	Overlap between Situational and Epistemic Modal Marking	Sneddon 1996b: 201-203 	Verbal Categories	
77A	No grammatical evidentials	Semantic Distinctions of Evidentiality	Roels-Sianturi et al. 1990	Verbal Categories	
78A	No grammatical evidentials	Coding of Evidentiality	Roels-Sianturi et al. 1990	Verbal Categories	
79A	None	Suppletion According to Tense and Aspect	Sneddon 1996b 	Verbal Categories	
79B	None (= no suppletive imperatives reported in the reference material)	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	Sneddon 1996b 	Verbal Categories	
81A	SVO	Order of Subject, Object and Verb	Macdonald 1976: 141 ; Sneddon 1996a: 256 	Word Order	
82A	SV	Order of Subject and Verb	Macdonald 1976: 141 ; Sneddon 1996a: 256 	Word Order	
83A	VO	Order of Object and Verb	Macdonald 1976: 141 ; Sneddon 1996a: 256 	Word Order	
84A	VOX	Order of Object, Oblique, and Verb	Sneddon 1996a: passim 	Word Order	
85A	Prepositions	Order of Adposition and Noun Phrase	Macdonald 1976: 112-115 ; Sneddon 1996a: 129, 189 	Word Order	
86A	Noun-Genitive	Order of Genitive and Noun	Danusugondo 1975: passim; Macdonald 1976: 87 ; Sneddon 1996a: 144 	Word Order	
87A	Noun-Adjective	Order of Adjective and Noun	Danusugondo 1975: 20, 24; Macdonald 1976: 88 ; Sneddon 1996a: 146 	Word Order	
88A	Noun-Demonstrative	Order of Demonstrative and Noun	Danusugondo 1975: passim; Macdonald 1976: 89 	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Danusugondo 1975: passim; Macdonald 1976: 86 ; Sneddon 1996a: 132 	Word Order	
90A	Noun-Relative clause	Order of Relative Clause and Noun	Danusugondo 1975: passim; Macdonald 1976: 89 ; Sneddon 1996a: 148, 286ff 	Word Order	
90C	Noun-Relative clause (NRel) dominant	Postnominal relative clauses	Danusugondo 1975: passim; Macdonald 1976: 89 ; Sneddon 1996a: 148, 286ff 	Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective	Macdonald 1976: 103-104 ; Sneddon 1996a: 177-181 	Word Order	
92A	In either of two positions	Position of Polar Question Particles	Danusugondo 1975: 2-3, 12; Macdonald 1976: 158 ; Sneddon 1996a: 311, 320 	Word Order	
93A	Mixed	Position of Interrogative Phrases in Content Questions	Mintz 1994: 114	Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause	Danusugondo 1975: passim 121ff; Sneddon 1996a: 341 	Word Order	
95A	VO and Prepositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	VO and NRel	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	VO and NAdj	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Neutral	Alignment of Case Marking of Full Noun Phrases	Sneddon 1996b: 241 	Simple Clauses	
99A	Neutral	Alignment of Case Marking of Pronouns	Sneddon 1996b: 241, 247 	Simple Clauses	
100A	Accusative	Alignment of Verbal Person Marking	Sneddon 1996b: 72 	Simple Clauses	
101A	Obligatory pronouns in subject position	Expression of Pronominal Subjects	Sneddon 1996a: passim 	Simple Clauses	
102A	Only the P argument	Verbal Person Marking	Sneddon 1996b: 72 	Simple Clauses	
103A	No zero realization	Third Person Zero of Verbal Person Marking	Sneddon 1996b: 72 	Simple Clauses	
104A	A and P do not or do not both occur on the verb	Order of Person Markers on the Verb	Sneddon 1996b: 72 	Simple Clauses	
105A	Mixed	Ditransitive Constructions: The Verb 'Give'	Sneddon 1996: 90, 240 	Simple Clauses	
106A	Distinct from reflexive	Reciprocal Constructions	Ogloblin and Nedjalkov 2007	Simple Clauses	
107A	Present	Passive Constructions	Macdonald 1976: 131 	Simple Clauses	
108A	No antipassive	Antipassive Constructions	Sneddon 1996 	Simple Clauses	
108B	no antipassive	Productivity of the Antipassive Construction	Sneddon 1996b 	Simple Clauses	
109A	Benefactive object; only transitive	Applicative Constructions	Chung 1976	Simple Clauses	
109B	No other roles (= Only benefactive)	Other Roles of Applied Objects		Simple Clauses	
110A	Sequential but no purposive	Periphrastic Causative Constructions	Sneddon 1996b: 192-203 	Simple Clauses	
111A	Morphological but no compound	Nonperiphrastic Causative Constructions	Sneddon 1996b: 192-203 	Simple Clauses	
112A	Negative word, unclear if verb or particle	Negative Morphemes	Danusugondo 1975: 91, 99	Simple Clauses	
113A	Symmetric	Symmetric and Asymmetric Standard Negation	Sneddon 1996b: 195-205 	Simple Clauses	
114A	Non-assignable	Subtypes of Asymmetric Standard Negation	Sneddon 1996b: 195-205 	Simple Clauses	
115A	Predicate negation also present	Negative Indefinite Pronouns and Predicate Negation	Sneddon 1996: 173 	Simple Clauses	
116A	Question particle	Polar Questions	Danusugondo 1975: 2-3, 12; Macdonald 1976: 158 ; Sneddon 1996a: 311, 320 	Simple Clauses	
117A	Topic	Predicative Possession	Steinhauer 2001	Simple Clauses	
118A	Verbal encoding	Predicative Adjectives	Steinhauer 2001	Simple Clauses	
119A	Different	Nominal and Locational Predication	Steinhauer 2001	Simple Clauses	
120A	Possible	Zero Copula for Predicate Nominals	Steinhauer 2001	Simple Clauses	
122A	Gap	Relativization on Subjects	Sneddon 1996b 	Complex Sentences	
123A	Gap	Relativization on Obliques	Sneddon 1996b 	Complex Sentences	
124A	Subject is left implicit	'Want' Complement Subjects	Sneddon 1996: 271, 275, 296 	Complex Sentences	
125A	Balanced	Purpose Clauses	Sneddon 1996b: 343 	Complex Sentences	
126A	Balanced	'When' Clauses	Sneddon 1996: 341, 347 	Complex Sentences	
127A	Balanced	Reason Clauses	Sneddon 1996: 343, 347 	Complex Sentences	
128A	Balanced	Utterance Complement Clauses	Sneddon 1996: 292 	Complex Sentences	
129A	Different	Hand and Arm	Echols and Shadily 1963 ; Pino and Wittermans 1955	Lexicon	
130A	Different	Finger and Hand	Echols and Shadily 1963 ; Pino and Wittermans 1955	Lexicon	
131A	Decimal	Numeral Bases	Sneddon 1996b: 185 	Lexicon	
136A	No M-T pronouns	M-T Pronouns	Sneddon 1996b 	Lexicon	
136B	No m in first person singular	M in First Person Singular	Sneddon 1996b 	Lexicon	
137A	No N-M pronouns	N-M Pronouns	Sneddon 1996b 	Lexicon	
137B	m in second person singular	M in Second Person Singular	Sneddon 1996b 	Lexicon	
138A	Words derived from Min Nan Chinese te	Tea	Malherbe and Rosenberg 1996: 970	Lexicon	
143A	NegV	Order of Negative Morpheme and Verb	Danusugondo 1975: 45; Macdonald 1976: 99-100 ; Sneddon 1996a: 195 	Word Order	
143E	NegV	Preverbal Negative Morphemes	Danusugondo 1975: 45; Macdonald 1976: 99-100 ; Sneddon 1996a: 195 	Word Order	
143F	None	Postverbal Negative Morphemes	Danusugondo 1975: 45; Macdonald 1976: 99-100 ; Sneddon 1996a: 195 	Word Order	
143G	None	Minor morphological means of signaling negation	Danusugondo 1975: 45; Macdonald 1976: 99-100 ; Sneddon 1996a: 195 	Word Order	
144A	SNegVO	Position of Negative Word With Respect to Subject, Object, and Verb	Macdonald 1976: 99 	Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Macdonald 1976: 99 	Word Order	
144D	SNegVO	The Position of Negative Morphemes in SVO Languages	Macdonald 1976: 99 	Word Order	
144H	No NegSVO	NegSVO Order	Macdonald 1976: 99 	Word Order	
144I	Word&NoDoubleNeg	SNegVO Order	Macdonald 1976: 99 	Word Order	
144J	No SVNegO	SVNegO Order	Macdonald 1976: 99 	Word Order	
144K	No SVONeg	SVONeg Order	Macdonald 1976: 99 	Word Order
