Fid	Value	Feature	Reference	Area
9A	No velar nasal	The Velar Nasal	Doyle 2001	Phonology	
10A	Contrast absent	Vowel Nasalization	Ní Chasaide 1999; Ó Siadhail 1989	Phonology	
14A	Initial	Fixed Stress Locations	Ó Siadhail 1989; Bammesberger 1983	Phonology	
15A	Fixed stress (no weight-sensitivity)	Weight-Sensitive Stress	Ó Siadhail 1989; Bammesberger 1983	Phonology	
16A	Long vowel	Weight Factors in Weight-Sensitive Stress Systems	Ó Siadhail 1989; Bammesberger 1983	Phonology	
17A	Undetermined	Rhythm Types	Ó Siadhail 1989; Bammesberger 1983	Phonology	
26A	Equal prefixing and suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Ó Dochartaigh 1992: passim; Ó Siadhail 1989: passim; Bammesberger 1982: passim; Dillon and Ó Cróinin 1961: passim; McCloskey 1979: passim; Stenson 1981: passim	Morphology	
27A	No productive reduplication	Reduplication	McCloskey 2001	Morphology	
28A	Core and non-core	Case Syncretism	Bammesberger 1982	Morphology	
29A	Syncretic	Syncretism in Verbal Person/Number Marking	Bammesberger 1982	Morphology	
33A	Mixed morphological plural	Coding of Nominal Plurality	Ó Dochartaigh 1992: 62-63; Dillon and Ó Cróinin 1961: 25-26, 193ff	Nominal Categories	
34A	All nouns, always obligatory	Occurrence of Nominal Plurality	Ó Siadhail 1989	Nominal Categories	
35A	Person-number stem	Plurality in Independent Personal Pronouns	MacEoin 1993: 120-122	Nominal Categories	
36A	No associative plural	The Associative Plural	Dillon and Ó Cróinin 1961	Nominal Categories	
37A	Definite word distinct from demonstrative	Definite Articles	Ó Dochartaigh 1992: 50-51; Stenson 1981: 28, 32	Nominal Categories	
38A	No indefinite, but definite article	Indefinite Articles	Ó Dochartaigh 1992: 53; Stenson 1981: 28	Nominal Categories	
39A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns	MacEoin 1993: 121	Nominal Categories	
40A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Verbal Inflection	MacEoin 1993: 123 ff.	Nominal Categories	
41A	Three-way contrast	Distance Contrasts in Demonstratives	Bammesberger 1982: 60	Nominal Categories	
42A	Identical	Pronominal and Adnominal Demonstratives	Bammesberger 1982: 60-1	Nominal Categories	
43A	Related to remote demonstratives	Third Person Pronouns and Demonstratives	MacEoin 1993: 119, 120	Nominal Categories	
44A	3rd person singular only	Gender Distinctions in Independent Personal Pronouns	MacEoin 1993: 121	Nominal Categories	
45A	No politeness distinction	Politeness Distinctions in Pronouns	Ó Siadhail 1989: 179-185	Nominal Categories	
46A	Generic-noun-based	Indefinite Pronouns	Haspelmath 1997: 280	Nominal Categories	
47A	Identical	Intensifiers and Reflexive Pronouns	Ó Dochartaigh 1992: 54; Ó Siadhail 1989: 207, 228	Nominal Categories	
48A	Pronouns only	Person Marking on Adpositions	MacEoin 1993: 120, 138	Nominal Categories	
49A	2 cases	Number of Cases	Bammesberger 1982: 30-35, 54-58	Nominal Categories	
50A	Symmetrical	Asymmetrical Case-Marking	Bammesberger 1982: 30-35, 54-58	Nominal Categories	
51A	Mixed morphological case	Position of Case Affixes	Stenson 1981: 17, 28	Nominal Categories	
52A	Identity	Comitatives and Instrumentals	Bammesberger 1983: 57	Nominal Categories	
53A	First, second, three-th	Ordinal Numerals	Dillon and Ó Cróinin 1961	Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes	Stenson 1981: 35	Nominal Categories	
61A	Marked by preceding word	Adjectives without Nouns	Caoimhin P. O'Donnaile, p.c., cited in Gil 1994: 36	Nominal Syntax	
62A	Mixed	Action Nominal Constructions		Nominal Syntax	
63A	'And' different from 'with'	Noun Phrase Conjunction	Ó Siadhail 1989	Nominal Syntax	
69A	Mixed type	Position of Tense-Aspect Affixes	Stenson 1981: 37	Verbal Categories	
70A	Second singular and second plural	The Morphological Imperative	Ó Siadhail 1989: 179; Lucas 1979: 122	Verbal Categories	
71A	Normal imperative + special negative	The Prohibitive	Ó Siadhail 1989: 179; Lucas 1979: 198	Verbal Categories	
72A	Maximal system	Imperative-Hortative Systems	Doyle 2001: 47-48, 99	Verbal Categories	
73A	Inflectional optative absent	The Optative	Ó Siadhail 1989	Verbal Categories	
74A	Verbal constructions	Situational Possibility	Ó Siadhail 1989: 288f., 292f.	Verbal Categories	
75A	Verbal constructions	Epistemic Possibility	Ó Siadhail 1989: 289f., 292f.	Verbal Categories	
76A	Overlap for both possibility and necessity	Overlap between Situational and Epistemic Modal Marking	Ó Siadhail 1989: 290	Verbal Categories	
77A	No grammatical evidentials	Semantic Distinctions of Evidentiality	Ó Siadhail 1989	Verbal Categories	
78A	No grammatical evidentials	Coding of Evidentiality	Ó Siadhail 1989	Verbal Categories	
79A	Tense and aspect	Suppletion According to Tense and Aspect	Dillon and Ó Cróinin 1961: in passim	Verbal Categories	
79B	Imperative	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	Dillon and Ó Cróinin 1961	Verbal Categories	
81A	VSO	Order of Subject, Object and Verb	Ó Dochartaigh 1992: 37; Stenson 1981: 40	Word Order	
82A	VS	Order of Subject and Verb	Ó Dochartaigh 1992: 37; Stenson 1981: 40	Word Order	
83A	VO	Order of Object and Verb	Ó Dochartaigh 1992: 37; Stenson 1981: 40	Word Order	
84A	VOX	Order of Object, Oblique, and Verb	Ó Dochartaigh 1992: 37; Stenson 1981: 40-41	Word Order	
85A	Prepositions	Order of Adposition and Noun Phrase	Ó Dochartaigh 1992: 58; Stenson 1981: 31	Word Order	
86A	Noun-Genitive	Order of Genitive and Noun	Ó Dochartaigh 1992: 54-55; Stenson 1981: 40	Word Order	
87A	Noun-Adjective	Order of Adjective and Noun	Ó Dochartaigh 1992: 50-51; Stenson 1981: 30, 40	Word Order	
88A	Noun-Demonstrative	Order of Demonstrative and Noun	Ó Dochartaigh 1992: 54; Stenson 1981: 28	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Ó Dochartaigh 1992: 51; Stenson 1981: 32-33	Word Order	
90A	Noun-Relative clause	Order of Relative Clause and Noun	Ó Dochartaigh 1992: 51; McCloskey 1979: 180, passim; Stenson 1981: passim	Word Order	
90C	Noun-Relative clause (NRel) dominant	Postnominal relative clauses	Ó Dochartaigh 1992: 51; McCloskey 1979: 180, passim; Stenson 1981: passim	Word Order	
92A	Initial	Position of Polar Question Particles	Ó Dochartaigh 1992: 38, 73; Stenson 1981: 32, 40-41	Word Order	
93A	Initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Ó Dochartaigh 1992: 38, 57; Stenson 1981: 40	Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause	Stenson 1981: 41	Word Order	
95A	VO and Prepositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	VO and NRel	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	VO and NAdj	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Neutral	Alignment of Case Marking of Full Noun Phrases	Dillon and Ó Cróinin 1961: 37, 69	Simple Clauses	
99A	Nominative - accusative (standard)	Alignment of Case Marking of Pronouns	Dillon and Ó Cróinin 1961: 50, 169	Simple Clauses	
100A	Accusative	Alignment of Verbal Person Marking	Ó Siadhail 1989: 127, 182	Simple Clauses	
101A	Mixed	Expression of Pronominal Subjects	Ó Siadhail 1989: 179-184; Dillon and Ó Cróinin 1961: 32	Simple Clauses	
102A	Only the A argument	Verbal Person Marking	MacEoin 1993: 127	Simple Clauses	
103A	No zero realization	Third Person Zero of Verbal Person Marking	MacEoin 1993: 127	Simple Clauses	
104A	A and P do not or do not both occur on the verb	Order of Person Markers on the Verb	MacEoin 1993: 127	Simple Clauses	
107A	Present	Passive Constructions	MacEoin 1993: 126	Simple Clauses	
