Fid	Value	Feature	Reference	Area
1A	Moderately small	Consonant Inventories	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
2A	Average (5-6)	Vowel Quality Inventories	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
3A	Average	Consonant-Vowel Ratio	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
4A	In both plosives and fricatives	Voicing in Plosives and Fricatives	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
5A	None missing in /p t k b d g/	Voicing and Gaps in Plosive Systems	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
6A	Uvular continuants only	Uvular Consonants	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
8A	No laterals	Lateral Consonants	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
9A	No velar nasal	The Velar Nasal	Shibatani 1990 	Phonology	
10A	Contrast absent	Vowel Nasalization	Hinds 1986; Okada 1999	Phonology	
11A	None	Front Rounded Vowels	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
12A	Moderately complex	Syllable Structure	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
13A	Simple tone system	Tone	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
18A	All present	Absence of Common Consonants	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
19A	None	Presence of Uncommon Consonants	Bloch 1950; Jorden 1963; Martin 1952; Shibatani 1990 	Phonology	
20A	Exclusively concatenative	Fusion of Selected Inflectional Formatives	Shibatani 1990 ; Hinds 1986; Kuno 1973	Morphology	
21A	Monoexponential case	Exponence of Selected Inflectional Formatives	Shibatani 1990 ; Hinds 1986; Kuno 1973	Morphology	
21B	monoexponential TAM	Exponence of Tense-Aspect-Mood Inflection	Shibatani 1990 ; Hinds 1986; Kuno 1973	Morphology	
22A	4-5 categories per word	Inflectional Synthesis of the Verb	Shibatani 1990 ; Hinds 1986	Morphology	
23A	Dependent marking	Locus of Marking in the Clause	Shibatani 1990 ; Hinds 1986	Morphology	
24A	Dependent marking	Locus of Marking in Possessive Noun Phrases	Shibatani 1990 ; Hinds 1986	Morphology	
25A	Dependent-marking	Locus of Marking: Whole-language Typology	Shibatani 1990 ; Hinds 1986	Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments	Shibatani 1990 ; Hinds 1986	Morphology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Shibatani 1990: passim ; Hinds 1986: passim; Kim 1991: passim	Morphology	
27A	Full reduplication only	Reduplication	Vance 2001	Morphology	
28A	No case marking	Case Syncretism	Hinds 1986	Morphology	
29A	No subject person/number marking	Syncretism in Verbal Person/Number Marking	Hinds 1986	Morphology	
33A	Plural suffix	Coding of Nominal Plurality	Hinds 1986: passim	Nominal Categories	
34A	Only human nouns, optional	Occurrence of Nominal Plurality	Hinds 1986: 222	Nominal Categories	
35A	Person stem + nominal plural affix	Plurality in Independent Personal Pronouns	Hinds 1986: 222-225	Nominal Categories	
36A	Associative same as additive plural	The Associative Plural	Hinds 1986: 222-223; Downing 1996: 203-204 	Nominal Categories	
37A	No definite, but indefinite article	Definite Articles	Hinds 1986: 82	Nominal Categories	
38A	Indefinite word distinct from 'one'	Indefinite Articles	Hinds 1986: 82	Nominal Categories	
39A	No inclusive/exclusive	Inclusive/Exclusive Distinction in Independent Pronouns	Martin 1991a: 1078	Nominal Categories	
40A	No person marking	Inclusive/Exclusive Distinction in Verbal Inflection	Martin 1991a: passim	Nominal Categories	
41A	Three-way contrast	Distance Contrasts in Demonstratives	Kuno 1973: 27	Nominal Categories	
42A	Different inflection	Pronominal and Adnominal Demonstratives		Nominal Categories	
43A	Unrelated	Third Person Pronouns and Demonstratives	Hinds 1986: 109	Nominal Categories	
44A	3rd person only, but also non-singular	Gender Distinctions in Independent Personal Pronouns	Hinds 1986: 251	Nominal Categories	
45A	Pronouns avoided for politeness	Politeness Distinctions in Pronouns	Hinds 1986: 238-265	Nominal Categories	
46A	Interrogative-based	Indefinite Pronouns	Hinds 1986: 359	Nominal Categories	
47A	Identical	Intensifiers and Reflexive Pronouns	Tsujimura 1995: 215-228	Nominal Categories	
48A	No person marking	Person Marking on Adpositions	Hinds 1986: 187	Nominal Categories	
