Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Zee 1999	Phonology	
2A	Large (7-14)	Vowel Quality Inventories	Zee 1999	Phonology	
3A	Moderately low	Consonant-Vowel Ratio	Zee 1999	Phonology	
4A	No voicing contrast	Voicing in Plosives and Fricatives	Zee 1999	Phonology	
5A	Other	Voicing and Gaps in Plosive Systems	Zee 1999	Phonology	
6A	None	Uvular Consonants	Zee 1999	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Zee 1999	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Zee 1999	Phonology	
9A	Initial velar nasal	The Velar Nasal	Matthews and Yip 1994: 16 	Phonology	
11A	High and mid	Front Rounded Vowels	Zee 1999	Phonology	
12A	Moderately complex	Syllable Structure	Zee 1999	Phonology	
13A	Complex tone system	Tone	Zee 1999	Phonology	
18A	All present	Absence of Common Consonants	Zee 1999	Phonology	
19A	None	Presence of Uncommon Consonants	Zee 1999	Phonology	
26A	Little affixation	Prefixing vs. Suffixing in Inflectional Morphology	Matthews and Yip 1994: passim ; Killingley 1982: passim	Morphology	
30A	None	Number of Genders	Matthews and Yip 1994: 79, 81 	Nominal Categories	
31A	No gender	Sex-based and Non-sex-based Gender Systems	Matthews and Yip 1994: 79, 81 	Nominal Categories	
32A	No gender	Systems of Gender Assignment	Matthews and Yip 1994: 79, 81 	Nominal Categories	
33A	No plural	Coding of Nominal Plurality	Matthews and Yip 1994: impl 	Nominal Categories	
35A	Person stem + nominal plural affix	Plurality in Independent Personal Pronouns	Matthews and Yip 1994: 79-80, 83 	Nominal Categories	
36A	Unique affixal associative plural	The Associative Plural	Matthews and Yip 1994: 34, 79-80 	Nominal Categories	
37A	No definite, but indefinite article	Definite Articles	Matthews and Yip 1994: 89 	Nominal Categories	
38A	Indefinite word same as 'one'	Indefinite Articles	Matthews and Yip 1994: 88, 89 	Nominal Categories	
41A	Two-way contrast	Distance Contrasts in Demonstratives	Matthews and Yip 1994: 89 	Nominal Categories	
42A	Identical	Pronominal and Adnominal Demonstratives	Matthews and Yip 1994: 89-92 	Nominal Categories	
43A	Unrelated	Third Person Pronouns and Demonstratives	Matthews and Yip 1994: 79, 89 	Nominal Categories	
46A	Special	Indefinite Pronouns	Matthews and Yip 1994: 271 	Nominal Categories	
47A	Identical	Intensifiers and Reflexive Pronouns	Matthews and Yip 1994: 84-85 	Nominal Categories	
51A	No case affixes or adpositional clitics	Position of Case Affixes	Matthews and Yip 1994: passim 	Nominal Categories	
53A	One-th, two-th, three-th	Ordinal Numerals	Matthews and Yip 1994 	Nominal Categories	
54A	No distributive numerals	Distributive Numerals		Nominal Categories	
55A	Obligatory	Numeral Classifiers		Nominal Categories	
56A	Formally similar, with interrogative	Conjunctions and Universal Quantifiers		Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes	Matthews and Yip 1994: impl 	Nominal Categories	
60A	Weakly differentiated	Genitives, Adjectives and Relative Clauses		Nominal Syntax	
61A	Marked by following word	Adjectives without Nouns		Nominal Syntax	
62A	No action nominals	Action Nominal Constructions		Nominal Syntax	
64A	Differentiation	Nominal and Verbal Conjunction	Matthews and Yip 1994: 288 	Nominal Syntax	
65A	Grammatical marking	Perfective/Imperfective Aspect	Bybee et al. 1994: 84, 332-333, quoting Kwok 1971:105-8	Verbal Categories	
66A	No past tense	The Past Tense	Bybee et al. 1994	Verbal Categories	
67A	No inflectional future	The Future Tense	Bybee et al. 1994: 252, 350, quoting Kwok 1971:114	Verbal Categories	
68A	Other perfect	The Perfect	Bybee et al. 1994: 64-65, 329, quoting Kwok 1971:108-9	Verbal Categories	
69A	Tense-aspect suffixes	Position of Tense-Aspect Affixes	Matthews and Yip 1994: 42, 197 	Verbal Categories	
70A	No second-person imperatives	The Morphological Imperative	Matthews and Yip 1994: 359-361 	Verbal Categories	
71A	Normal imperative + special negative	The Prohibitive	Matthews and Yip 1994: 256-257, 363-365 	Verbal Categories	
74A	Verbal constructions	Situational Possibility	Matthews and Yip 1994: 59, 229-232 	Verbal Categories	
75A	Other	Epistemic Possibility	Matthews and Yip 1994: 231 	Verbal Categories	
76A	Overlap for either possibility or necessity	Overlap between Situational and Epistemic Modal Marking	Matthews and Yip 1994: 235 	Verbal Categories	
77A	Indirect only	Semantic Distinctions of Evidentiality	Matthews 1997	Verbal Categories	
78A	Separate particle	Coding of Evidentiality	Matthews 1997	Verbal Categories	
79A	None	Suppletion According to Tense and Aspect	Matthews and Yip 1994 	Verbal Categories	
79B	None (= no suppletive imperatives reported in the reference material)	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	Matthews and Yip 1994 	Verbal Categories	
81A	SVO	Order of Subject, Object and Verb	Matthews and Yip 1994: 68 	Word Order	
82A	SV	Order of Subject and Verb	Matthews and Yip 1994: 69 	Word Order	
83A	VO	Order of Object and Verb	Matthews and Yip 1994: 68 	Word Order	
84A	XVO	Order of Object, Oblique, and Verb	Matthews and Yip 1994: 115-127 	Word Order	
85A	No dominant order	Order of Adposition and Noun Phrase	Matthews and Yip 1994: 60, 62 	Word Order	
86A	Genitive-Noun	Order of Genitive and Noun	Matthews and Yip 1994: 107 	Word Order	
87A	Adjective-Noun	Order of Adjective and Noun	Matthews and Yip 1994: 88 	Word Order	
88A	Demonstrative-Noun	Order of Demonstrative and Noun	Matthews and Yip 1994: 88 	Word Order	
