Fid	Value	Feature	Reference	Area
1A	Average	Consonant Inventories	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
2A	Average (5-6)	Vowel Quality Inventories	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
3A	Average	Consonant-Vowel Ratio	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
4A	In fricatives alone	Voicing in Plosives and Fricatives	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
5A	Other	Voicing and Gaps in Plosive Systems	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
6A	None	Uvular Consonants	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
7A	No glottalized consonants	Glottalized Consonants	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
8A	/l/, no obstruent laterals	Lateral Consonants	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
9A	No initial velar nasal	The Velar Nasal	Li and Thompson 1981: 89	Phonology	
10A	Contrast absent	Vowel Nasalization	Li and Thompson 1981	Phonology	
11A	High only	Front Rounded Vowels	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
12A	Moderately complex	Syllable Structure	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
13A	Complex tone system	Tone	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
14A	No fixed stress	Fixed Stress Locations	Henne et al. 1977	Phonology	
15A	Not predictable	Weight-Sensitive Stress	Henne et al. 1977	Phonology	
16A	Lexical stress	Weight Factors in Weight-Sensitive Stress Systems	Henne et al. 1977	Phonology	
18A	All present	Absence of Common Consonants	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
19A	None	Presence of Uncommon Consonants	Cheng 1973a; Dow 1972; Hanyu 1960; Chao 1968	Phonology	
20A	Isolating/concatenative	Fusion of Selected Inflectional Formatives	Li and Thompson 1981; Bisang 1991 ; Bisang 1992 	Morphology	
21A	Monoexponential case	Exponence of Selected Inflectional Formatives	Li and Thompson 1981; Bisang 1991 ; Bisang 1992 	Morphology	
21B	monoexponential TAM	Exponence of Tense-Aspect-Mood Inflection	Li and Thompson 1981; Bisang 1991 ; Bisang 1992 	Morphology	
22A	0-1 category per word	Inflectional Synthesis of the Verb	Li and Thompson 1981	Morphology	
23A	Dependent marking	Locus of Marking in the Clause	Li and Thompson 1981	Morphology	
24A	Dependent marking	Locus of Marking in Possessive Noun Phrases	Li and Thompson 1981	Morphology	
25A	Dependent-marking	Locus of Marking: Whole-language Typology	Li and Thompson 1981	Morphology	
25B	Non-zero marking	Zero Marking of A and P Arguments	Li and Thompson 1981	Morphology	
26A	Strongly suffixing	Prefixing vs. Suffixing in Inflectional Morphology	Li and Thompson 1981: passim	Morphology	
27A	Productive full and partial reduplication	Reduplication	Zhu 2001	Morphology	
28A	No case marking	Case Syncretism		Morphology	
29A	No subject person/number marking	Syncretism in Verbal Person/Number Marking		Morphology	
30A	None	Number of Genders	Li and Thompson 1981	Nominal Categories	
31A	No gender	Sex-based and Non-sex-based Gender Systems	Li and Thompson 1981	Nominal Categories	
32A	No gender	Systems of Gender Assignment	Li and Thompson 1981	Nominal Categories	
33A	Plural suffix	Coding of Nominal Plurality	Li and Thompson 1981: 12, 40	Nominal Categories	
34A	Only human nouns, optional	Occurrence of Nominal Plurality	Li and Thompson 1981: 40	Nominal Categories	
35A	Person stem + nominal plural affix	Plurality in Independent Personal Pronouns	Li and Thompson 1981: 40-41, 134	Nominal Categories	
36A	Unique periphrastic associative plural	The Associative Plural	Chao 1968: 635-636	Nominal Categories	
