Language,Model,token_precision,token_recall,token_fscore,type_precision,type_recall,type_fscore,boundary_noedge_precision,boundary_noedge_recall,boundary_noedge_fscore,oversegmentation,undersegmentation
Basque,DYMULTI-23,34.34020793867807,52.34413914828921,41.47209964594519,42.27094132554861,35.64798094885851,38.67744446291948,53.40809082100249,93.68802776250308,68.03191089310772,15.921409253025098,6.311972237496925
Basque,MULTICUE-23,7.430595681737856,17.536053535091476,10.436650434127241,19.60455952237389,9.488362094331118,12.743973514262297,27.209704872039385,80.69105229855464,40.68997823053266,42.159034775846024,19.30894770144537
Basque,PHOCUS-1S,46.831821049581244,59.96239995549381,52.58319952515988,44.54380359431747,32.588742582989255,37.63249666805073,62.621633560754745,87.90958179824928,73.12551333556465,10.23856657028763,12.090418201750722
Cantonese,DYMULTI-23,85.48805552460733,84.52513585566524,85.00374496452079,60.89707901605743,76.57108798688036,67.8379406595643,93.74005734847128,92.33141916892386,93.03016327146045,2.9204138987880928,7.668580831076146
Cantonese,MULTICUE-23,75.60667426619574,79.62630738973616,77.56416024853857,41.46262930030934,64.19184850026086,50.38089415249317,86.16030616260909,92.27130420756225,89.11058695792323,7.020231046133833,7.728695792437742
Cantonese,PHOCUS-1S,84.60854655482751,76.04786228945089,80.09096482727972,65.56708926850676,77.58682459317897,71.06453287111539,96.55807703599154,83.48798866276283,89.52949061156615,1.4141219907477511,16.51201133723718
Croatian,DYMULTI-23,45.2057726728999,59.95695367713314,51.5465930550046,44.70563597622784,42.35655007680036,43.49769394756321,64.19261529910385,92.0492481537693,75.63718589188048,14.571896871829278,7.950751846230704
Croatian,MULTICUE-23,29.793047693479178,47.37423251891268,36.580045840002285,29.978736245594263,23.1450854782138,26.119062160202162,51.701569061464525,92.28274153666122,66.27134357159136,24.46966774554463,7.717258463338783
Croatian,PHOCUS-1S,50.45164228442482,59.15484114340144,54.445711231923795,39.74145296884016,31.05739025392442,34.861439311872324,68.54658329559815,84.27832987127648,75.57602884042723,11.005042680653593,15.72167012872352
Danish,DYMULTI-23,87.73141498671035,90.03847900821003,88.86966171284766,69.0943074698595,73.4955983826176,71.22623490025715,92.4715759635902,95.94738649372735,94.17674223847311,2.784142702201348,4.052613506272648
Danish,MULTICUE-23,74.09754824560656,82.32562448223277,77.99493199615708,50.720174829104955,59.958744996341316,54.951980303656,82.20138777052657,95.24905562399631,88.24499879728391,7.350293427256744,4.750944376003686
Danish,PHOCUS-1S,77.06694446567249,74.7318178455802,75.86294114230495,62.72395327686011,61.35068545802708,62.023194835982665,88.67063059295127,84.72566532899562,86.60801906417048,3.8637168202515566,15.274334671004379
Dutch,DYMULTI-23,64.57682666235519,73.9844663395157,68.96118233440752,51.945318550175024,50.47647693934174,51.19945332801461,77.67370885588811,92.67499610847187,84.51362419674302,9.00247647384666,7.325003891528124
Dutch,MULTICUE-23,50.98483346775047,67.35610127215324,58.037829125661275,45.15888648904836,45.04183698795425,45.10010301215767,65.9855850910318,94.0754613470676,77.56520149714255,16.389512852162895,5.924538652932389
Dutch,PHOCUS-1S,67.62510276175865,69.41158451163611,68.50040182599903,52.75364292297688,46.60037511385536,49.47646436497359,81.19075903535243,84.03952333851261,82.57720330754236,6.593969778295647,15.960476661487396
English,DYMULTI-23,79.93646181669581,81.05050287323338,80.48940856480786,56.176807800422544,70.31512136909434,62.45346356089643,89.76922541466368,91.33920088834623,90.54702250881998,4.249993544897965,8.66079911165377
English,MULTICUE-23,69.27634699443038,78.12040938970924,73.43291024684247,47.08966215691855,60.98437726648086,53.14280821426595,81.77973020862221,94.88302196182683,87.84516559549716,8.630540248614851,5.116978038173164
English,PHOCUS-1S,77.40723459413505,75.29512146700738,76.33197598429487,61.17639377120888,66.27155546692204,63.6167573984093,89.85808959885279,86.7625690526364,88.27486508419723,4.00077950847677,13.237430947363602
Estonian,DYMULTI-23,58.300141372964845,73.93654487657074,65.19347187650703,58.643684983124174,52.13140338626638,55.19529361062166,72.18728667501313,97.49649713463091,82.95369044351793,8.757020145552593,2.503502865369101
Estonian,MULTICUE-23,37.099508914960055,57.38331944737244,45.063784713211035,40.09328332038661,36.24721859621602,38.07287563863108,56.7325066707037,97.27868984692851,71.66771754319313,17.294935946517022,2.7213101530714825
Estonian,PHOCUS-1S,61.29241818540595,69.0337395627375,64.93118422254285,50.33655158804937,42.74906352606338,46.23229133684563,75.97232358371633,88.51701458958789,81.76225830547216,6.528234721173121,11.48298541041211
Farsi,DYMULTI-23,52.8703352618546,65.84095533833059,58.64685086277915,57.31198411071148,53.94722003413693,55.57798912734713,67.15102390059553,91.95300997652146,77.61838094540417,9.646448460460565,8.046990023478536
Farsi,MULTICUE-23,37.084662467125625,54.742601426088015,44.215502043068184,40.34868470154245,40.561669654947025,40.45392457718079,53.75553448650826,92.2941222344189,67.93922131006823,17.027798337702087,7.705877765581114
Farsi,PHOCUS-1S,55.73396893467278,66.02095782255427,60.43674712796875,49.24287992146685,39.09255433059802,43.58267437027517,68.57747485746708,87.67204602675575,76.94269733842225,8.634953727508345,12.327953973244249
French,DYMULTI-23,61.86414622041158,58.687390581371254,60.233683302130245,38.51151106341696,53.73665176441561,44.86618625778055,81.75465126088754,76.39665592811583,78.98437413009285,7.892633594129895,23.60334407188417
French,MULTICUE-23,58.292020557874515,60.07907592886355,59.1719079508974,36.211659110923975,54.9790281158602,43.66236976798699,77.23319684458909,80.25514889113714,78.71486203015365,10.951872437000556,19.744851108862864
French,PHOCUS-1S,62.55367641088337,55.69531963600549,58.9218320581115,45.41766840060738,50.37643809503722,47.75361553376,83.03626619495125,71.41063646594245,76.77710600100431,6.75863445226898,28.589363534057554
German,DYMULTI-23,72.05730478065377,83.62568788130969,77.41157434302329,61.18630414558295,54.79032014649539,57.81081286240213,82.06725167678587,98.4090946782684,89.49812260676158,6.702258461177392,1.5909053217316027
German,MULTICUE-23,45.509736507496385,65.55139367040437,53.72212507591064,40.99657218296155,36.63767797674025,38.69369596310784,63.46921270049302,98.1375170681035,77.08452306959185,17.60515553942067,1.8624829318965044
German,PHOCUS-1S,67.11557544074537,75.09389094560157,70.87461211278863,50.99478026586463,41.92941381038541,46.01801407354137,80.25988151800479,92.10987925753815,85.76616596843563,7.075210207603211,7.890120742461841
Greek,DYMULTI-23,65.20141829628002,73.59316488767799,69.14338228519503,52.84401884045978,55.922102820756876,54.337459443698684,76.29065417723824,90.44949566902794,82.76840671447349,7.771406807723659,9.550504330972059
Greek,MULTICUE-23,50.88526030430704,63.3273728203848,56.4283923156889,33.83736737684511,43.20063831989468,37.94937475810139,63.95000706887525,86.49663897132109,73.53342059556573,13.479631879960806,13.503361028678913
Greek,PHOCUS-1S,63.195894588425006,64.79201240175246,63.97315093921189,48.5052435043453,46.90140542052885,47.685042246109916,77.03353615864891,79.81403590718995,78.37176238983261,6.592577279680415,20.185964092810053
Hungarian,DYMULTI-23,42.89474056857523,55.174500567399875,48.265344552196495,43.44890937355531,38.34763724933094,40.73857923540025,61.52504917893591,86.35938014788056,71.8558725807186,13.119671470049209,13.640619852119434
Hungarian,MULTICUE-23,34.33863326590627,50.027343786721275,40.72383945761573,33.2604722561169,30.945955508929654,32.06018455961082,52.70182709515219,86.64918509055715,65.53931050727847,18.891425040436893,13.35081490944284
Hungarian,PHOCUS-1S,50.418635603650564,57.635093691984295,53.78324229512516,40.16384213824684,31.105998047250615,35.05835285495536,66.58603353101788,80.01808062746352,72.68029614412995,9.760013739624357,19.98191937253648
Icelandic,DYMULTI-23,72.81312270941086,79.97151917114967,76.22320444352808,58.31328613168563,62.79723480683801,60.47169376681147,82.50587366021297,93.68483755665551,87.73788201440426,4.965424569910757,6.3151624433444935
Icelandic,MULTICUE-23,43.923672039397715,62.26885521722761,51.5113587516264,40.74688414082967,44.517249003433406,42.54774510753394,59.874286190584755,94.32310171265185,73.24994779538108,15.790477169548286,5.676898287348147
